sample_idx,time_s,x_raw,x_g,x_m_s2,device_name,odr_hz,capture_elapsed_us
170,0.20072564344746166,-525,-0.1281,-1.256231865,XIAO-IMU-3,3330,1000086
171,0.20190638252656437,-521,-0.127124,-1.2466605746,XIAO-IMU-3,3330,1000086
172,0.20308712160566708,-476,-0.116144,-1.1389835575999998,XIAO-IMU-3,3330,1000086
173,0.2042678606847698,-113,-0.027572,-0.2703889538,XIAO-IMU-3,3330,1000086
174,0.2054485997638725,-56,-0.013663999999999999,-0.1339980656,XIAO-IMU-3,3330,1000086
175,0.2066293388429752,-23,-0.005612,-0.05503491979999999,XIAO-IMU-3,3330,1000086
176,0.20781007792207795,23,0.005612,0.05503491979999999,XIAO-IMU-3,3330,1000086
177,0.20899081700118066,106,0.025864,0.2536391956,XIAO-IMU-3,3330,1000086
178,0.21017155608028337,160,0.03904,0.38285161599999995,XIAO-IMU-3,3330,1000086
179,0.21135229515938608,211,0.051484,0.5048855686,XIAO-IMU-3,3330,1000086
180,0.2125330342384888,700,0.17079999999999998,1.6749758199999998,XIAO-IMU-3,3330,1000086
181,0.21371377331759153,776,0.18934399999999998,1.8568303375999997,XIAO-IMU-3,3330,1000086
182,0.21489451239669424,842,0.20544800000000002,2.0147566292,XIAO-IMU-3,3330,1000086
183,0.21607525147579695,874,0.213256,2.0913269523999998,XIAO-IMU-3,3330,1000086
184,0.21725599055489966,940,0.22935999999999998,2.2492532439999997,XIAO-IMU-3,3330,1000086
185,0.21843672963400237,1010,0.24644,2.416750826,XIAO-IMU-3,3330,1000086
186,0.21961746871310509,1056,0.257664,2.5268206656,XIAO-IMU-3,3330,1000086
187,0.22079820779220782,1104,0.26937599999999995,2.6416761503999995,XIAO-IMU-3,3330,1000086
188,0.22197894687131053,1641,0.400404,3.9266218865999996,XIAO-IMU-3,3330,1000086
189,0.22315968595041324,1738,0.424072,4.1587256788,XIAO-IMU-3,3330,1000086
190,0.22434042502951596,1796,0.438224,4.2975093896,XIAO-IMU-3,3330,1000086
191,0.22552116410861867,1844,0.449936,4.4123648744,XIAO-IMU-3,3330,1000086
192,0.22670190318772138,1972,0.481168,4.718646167199999,XIAO-IMU-3,3330,1000086
193,0.22788264226682411,2033,0.49605199999999994,4.864608345799999,XIAO-IMU-3,3330,1000086
194,0.22906338134592683,2135,0.52094,5.1086762509999994,XIAO-IMU-3,3330,1000086
195,0.23024412042502954,2225,0.5428999999999999,5.324030284999999,XIAO-IMU-3,3330,1000086
196,0.23142485950413225,3062,0.7471279999999999,7.326822801199999,XIAO-IMU-3,3330,1000086
197,0.23260559858323496,3176,0.774944,7.599604577599999,XIAO-IMU-3,3330,1000086
198,0.2337863376623377,3283,0.801052,7.855636595799999,XIAO-IMU-3,3330,1000086
199,0.2349670767414404,3427,0.836188,8.2002030502,XIAO-IMU-3,3330,1000086
200,0.23614781582054312,3547,0.865468,8.4873417622,XIAO-IMU-3,3330,1000086
201,0.23732855489964583,3660,0.89304,8.757730716,XIAO-IMU-3,3330,1000086
202,0.23850929397874854,3812,0.930128,9.121439751199999,XIAO-IMU-3,3330,1000086
203,0.23969003305785125,3904,0.952576,9.3415794304,XIAO-IMU-3,3330,1000086
204,0.240870772136954,4531,1.105564,10.8418792006,XIAO-IMU-3,3330,1000086
205,0.2420515112160567,4612,1.1253279999999999,11.035697831199998,XIAO-IMU-3,3330,1000086
206,0.2432322502951594,4696,1.1458240000000002,11.2366949296,XIAO-IMU-3,3330,1000086
207,0.24441298937426212,4772,1.1643679999999998,11.418549447199998,XIAO-IMU-3,3330,1000086
208,0.24559372845336483,4877,1.189988,11.6697958202,XIAO-IMU-3,3330,1000086
209,0.24677446753246757,4934,1.2038959999999999,11.806186708399999,XIAO-IMU-3,3330,1000086
210,0.24795520661157028,5020,1.22488,12.011969451999999,XIAO-IMU-3,3330,1000086
211,0.249135945690673,5442,1.327848,13.021740589199998,XIAO-IMU-3,3330,1000086
212,0.2503166847697757,5452,1.330288,13.045668815199999,XIAO-IMU-3,3330,1000086
213,0.2514974238488784,5473,1.335412,13.0959180898,XIAO-IMU-3,3330,1000086
214,0.2526781629279811,5475,1.3358999999999999,13.100703734999998,XIAO-IMU-3,3330,1000086
215,0.25385890200708383,5491,1.3398039999999998,13.138988896599997,XIAO-IMU-3,3330,1000086
216,0.25503964108618654,5461,1.332484,13.067204218599999,XIAO-IMU-3,3330,1000086
217,0.25622038016528925,5485,1.3383399999999999,13.124631960999999,XIAO-IMU-3,3330,1000086
218,0.257401119244392,5478,1.336632,13.107882202799999,XIAO-IMU-3,3330,1000086
219,0.25858185832349473,5264,1.284416,12.595818166399999,XIAO-IMU-3,3330,1000086
220,0.25976259740259744,5234,1.277096,12.524033488399999,XIAO-IMU-3,3330,1000086
221,0.26094333648170015,5196,1.267824,12.4331062296,XIAO-IMU-3,3330,1000086
222,0.26212407556080286,5123,1.250012,12.258430179799998,XIAO-IMU-3,3330,1000086
223,0.26330481463990557,5080,1.23952,12.155538808,XIAO-IMU-3,3330,1000086
224,0.2644855537190083,5010,1.22244,11.988041225999998,XIAO-IMU-3,3330,1000086
225,0.265666292798111,4929,1.2026759999999999,11.794222595399997,XIAO-IMU-3,3330,1000086
226,0.2668470318772137,4881,1.190964,11.679367110599998,XIAO-IMU-3,3330,1000086
227,0.2680277709563164,4250,1.037,10.16949605,XIAO-IMU-3,3330,1000086
228,0.2692085100354191,4151,1.0128439999999999,9.932606612599997,XIAO-IMU-3,3330,1000086
229,0.2703892491145219,4100,1.0004,9.810572659999998,XIAO-IMU-3,3330,1000086
230,0.2715699881936246,4006,0.9774639999999999,9.5856473356,XIAO-IMU-3,3330,1000086
231,0.2727507272727273,3928,0.9584320000000001,9.3990071728,XIAO-IMU-3,3330,1000086
232,0.27393146635183,3846,0.9384239999999999,9.2027957196,XIAO-IMU-3,3330,1000086
233,0.27511220543093273,3775,0.9211,9.032905314999999,XIAO-IMU-3,3330,1000086
234,0.27629294451003544,3702,0.903288,8.858229265199999,XIAO-IMU-3,3330,1000086
235,0.27747368358913815,2978,0.726632,7.125825702799999,XIAO-IMU-3,3330,1000086
236,0.27865442266824086,2923,0.713212,6.994220459799999,XIAO-IMU-3,3330,1000086
237,0.2798351617473436,2848,0.6949120000000001,6.8147587648000005,XIAO-IMU-3,3330,1000086
238,0.2810159008264463,2760,0.6734399999999999,6.604190375999999,XIAO-IMU-3,3330,1000086
239,0.282196639905549,2691,0.6566040000000001,6.439085616600001,XIAO-IMU-3,3330,1000086
240,0.28337737898465176,2621,0.639524,6.2715880346,XIAO-IMU-3,3330,1000086
241,0.2845581180637545,2575,0.6283,6.161518194999999,XIAO-IMU-3,3330,1000086
242,0.2857388571428572,2480,0.60512,5.934200047999999,XIAO-IMU-3,3330,1000086
243,0.2869195962219599,2139,0.5219159999999999,5.118247541399999,XIAO-IMU-3,3330,1000086
244,0.2881003353010626,2055,0.50142,4.9172504429999995,XIAO-IMU-3,3330,1000086
245,0.2892810743801653,2013,0.49117199999999994,4.816751893799999,XIAO-IMU-3,3330,1000086
246,0.290461813459268,1932,0.471408,4.622933263199999,XIAO-IMU-3,3330,1000086
247,0.29164255253837074,1833,0.447252,4.3860438258,XIAO-IMU-3,3330,1000086
248,0.29282329161747345,1760,0.42944,4.2113677759999995,XIAO-IMU-3,3330,1000086
